region;state;city;state_cod;city_code;region_code;health_region_name;date;epi_week;population_2019;accumulated_cases;new_cases;accumulated_deaths;new_deaths;new_recovered;new_in_care;rural_or_city
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;15/07/2020;29;219536;2455;33;61;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;16/07/2020;29;219536;2498;43;63;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;17/07/2020;29;219536;2557;59;68;5;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;18/07/2020;29;219536;2581;24;68;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;19/07/2020;30;219536;2589;8;68;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;20/07/2020;30;219536;2615;26;69;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;21/07/2020;30;219536;2654;39;71;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;22/07/2020;30;219536;2779;125;73;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;23/07/2020;30;219536;2932;153;78;5;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;24/07/2020;30;219536;3103;171;80;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;25/07/2020;30;219536;3173;70;83;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;26/07/2020;31;219536;3221;48;86;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;27/07/2020;31;219536;3237;16;86;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;28/07/2020;31;219536;3365;128;90;4;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;29/07/2020;31;219536;3489;124;92;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;30/07/2020;31;219536;3551;62;94;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;31/07/2020;31;219536;3709;158;96;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;01/08/2020;31;219536;3781;72;100;4;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;02/08/2020;32;219536;3811;30;101;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;03/08/2020;32;219536;3823;12;101;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;04/08/2020;32;219536;3855;32;105;4;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;05/08/2020;32;219536;3891;36;106;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;06/08/2020;32;219536;3934;43;107;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;07/08/2020;32;219536;3923;-11;110;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;08/08/2020;32;219536;3995;72;110;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;09/08/2020;33;219536;3999;4;112;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;10/08/2020;33;219536;4013;14;119;7;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;11/08/2020;33;219536;4039;26;128;9;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;12/08/2020;33;219536;4177;138;129;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;13/08/2020;33;219536;4240;63;131;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;14/08/2020;33;219536;4249;9;132;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;15/08/2020;33;219536;4269;20;134;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;16/08/2020;34;219536;4280;11;135;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;17/08/2020;34;219536;4301;21;136;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;18/08/2020;34;219536;4369;68;137;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;19/08/2020;34;219536;4506;137;140;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;20/08/2020;34;219536;4543;37;142;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;21/08/2020;34;219536;4570;27;145;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;22/08/2020;34;219536;4616;46;146;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;23/08/2020;35;219536;4632;16;146;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;24/08/2020;35;219536;4760;128;147;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;25/08/2020;35;219536;4858;98;150;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;26/08/2020;35;219536;4890;32;151;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;27/08/2020;35;219536;4921;31;152;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;28/08/2020;35;219536;4933;12;152;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;29/08/2020;35;219536;4967;34;152;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;30/08/2020;36;219536;5027;60;153;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;31/08/2020;36;219536;6442;1415;155;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;01/09/2020;36;219536;6531;89;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;02/09/2020;36;219536;6609;78;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;03/09/2020;36;219536;6627;18;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;04/09/2020;36;219536;6650;23;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;05/09/2020;36;219536;6663;13;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;06/09/2020;37;219536;6661;-2;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;07/09/2020;37;219536;6670;9;155;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;08/09/2020;37;219536;6692;22;152;-3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;09/09/2020;37;219536;6774;82;152;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;10/09/2020;37;219536;6822;48;154;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;11/09/2020;37;219536;6862;40;155;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;12/09/2020;37;219536;6920;58;156;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;13/09/2020;38;219536;6974;54;156;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;14/09/2020;38;219536;6990;16;157;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;15/09/2020;38;219536;7091;101;157;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;16/09/2020;38;219536;7159;68;158;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;17/09/2020;38;219536;7208;49;158;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;18/09/2020;38;219536;7265;57;158;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;19/09/2020;38;219536;7345;80;160;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;20/09/2020;39;219536;7362;17;160;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;21/09/2020;39;219536;7432;70;160;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;22/09/2020;39;219536;7580;148;160;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;23/09/2020;39;219536;7689;109;161;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;24/09/2020;39;219536;7728;39;161;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;25/09/2020;39;219536;7732;4;161;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;26/09/2020;39;219536;7739;7;162;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;27/09/2020;40;219536;7742;3;162;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;28/09/2020;40;219536;7748;6;162;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;29/09/2020;40;219536;7773;25;164;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;30/09/2020;40;219536;7812;39;164;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;01/10/2020;40;219536;7861;49;165;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;02/10/2020;40;219536;7864;3;165;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;03/10/2020;40;219536;7920;56;165;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;04/10/2020;41;219536;7933;13;166;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;05/10/2020;41;219536;7970;37;166;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;06/10/2020;41;219536;8030;60;167;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;07/10/2020;41;219536;8044;14;167;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;08/10/2020;41;219536;8062;18;167;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;09/10/2020;41;219536;8092;30;169;2;;;0
